Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,New_Volume(L),Material Name,Points
31/10/2023,B,ERW_BM2U2020110127,Reseller,Kanchanaburi,145498,920,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",1840
27/3/2023,C,ERW_C08P2020090127,Reseller,Phrae,143629,12488,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",24976
27/3/2023,C,ERW_C08P2020090127,Reseller,Phrae,145474,6328,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",12656
3/4/2023,B,ERW_B5CM2020120011,Retails,Nakhon Pathom,142931,13244,"Mobil Delvac MX 15W-40, 4X6+1L.",26488
13/9/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,135899,1998,"Mobilube HD 80W-90, 1X18L.",1998
13/9/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,135896,3744,"Mobilube HD 85W-140, 1X18L.",3744
22/9/2023,A,ERW_AMBP2020110050,Retails,Bangkok,145570,1920,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",3840
31/10/2023,B,ERW_BXEO2021030002,Retails,Nakhon Pathom,145498,7260,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",14520
12/9/2023,A,ERW_AMBP2020110234,Retails,Ubon Ratchathani,135904,8010,"Mobilube GX 80W-90, 1X18L.",8010
6/6/2023,C,ERW_C08P2020090012,Reseller,Kamphaeng Phet,135896,5616,"Mobilube HD 85W-140, 1X18L.",5616
25/2/2023,C,ERW_C08P2020090012,Reseller,Kamphaeng Phet,135896,2700,"Mobilube HD 85W-140, 1X18L.",2700
16/2/2023,C,ERW_C08P2020090012,Reseller,Kamphaeng Phet,135899,5562,"Mobilube HD 80W-90, 1X18L.",5562
6/1/2023,C,ERW_C08P2020090012,Reseller,Kamphaeng Phet,142939,7956,"Mobil Delvac Super 1400 15W‐40, 1X18LT.",15912
6/1/2023,C,ERW_C08P2020090012,Reseller,Kamphaeng Phet,135896,666,"Mobilube HD 85W-140, 1X18L.",666
11/1/2023,C,ERW_C08P2020090025,Reseller,Kamphaeng Phet,134728,8388,"Mobil Delvac Super 20W-50, 1X18L.",8388
16/1/2023,C,ERW_C08P2020090041,Reseller,Tak,142939,288,"Mobil Delvac Super 1400 15W‐40, 1X18LT.",576
24/3/2023,C,ERW_C4M12022030001,Retails,Phrae,142939,7236,"Mobil Delvac Super 1400 15W‐40, 1X18LT.",14472
25/3/2023,C,ERW_C4M12022030001,Retails,Phrae,142939,2160,"Mobil Delvac Super 1400 15W‐40, 1X18LT.",4320
10/2/2023,C,ERW_C4M12022030001,Retails,Phrae,142939,8604,"Mobil Delvac Super 1400 15W‐40, 1X18LT.",17208
9/1/2023,C,ERW_C4M12022030001,Retails,Phrae,142930,5364,"Mobil Delvac MX 15W-40, 1X18L.",10728
14/3/2023,C,ERW_C08P2020090012,Reseller,Kamphaeng Phet,142939,8586,"Mobil Delvac Super 1400 15W‐40, 1X18LT.",17172
25/3/2023,C,ERW_C08P2020090012,Reseller,Kamphaeng Phet,135899,6354,"Mobilube HD 80W-90, 1X18L.",6354
20/3/2023,C,ERW_C08P2020090042,Reseller,Tak,135896,3636,"Mobilube HD 85W-140, 1X18L.",3636
16/2/2023,C,ERW_C08P2020090034,Retails,Tak,142939,1242,"Mobil Delvac Super 1400 15W‐40, 1X18LT.",2484
11/10/2023,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,135896,2088,"Mobilube HD 85W-140, 1X18L.",2088
26/5/2023,B,ERW_BTV62021100001,Retails,Ratchaburi,137227,1134,"Mobil Delvac Super 1400 15W‐40, 1X18L.",2268
15/12/2023,A,ERW_A7QF2022060003,Retails,N\A,145577,672,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",1344
27/1/2023,A,ERW_ALWN2023020007,Retails,Sakon Nakhon,143629,12628,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",25256
24/2/2023,A,ERW_AMBP2020110082,Retails,Bangkok,143132,5544,"Mobil 1 5W-30, 4X4L.",55440
21/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145832,3668,"Mobil 1 FS X2 5W-50, [V2] 4X4L.",36680
3/10/2023,B,ERW_BM2U2020110014,Reseller,Suphan Buri,145577,5460,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",10920
24/3/2023,B,ERW_BM2U2020110062,Retails,Nakhon Pathom,143629,8260,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",16520
17/6/2023,D,ERW_DBG72020110010,Retails,Krabi,143877,4508,"Mobil Super All-In-One Protection Turbospeed 5W-30, 4X7L.",4508
25/8/2023,D,ERW_DBG72020110075,Retails,Chumphon,145472,3080,"Mobil Delvac Modern 10W-30 Super Defense, [V2] 4X6L.",6160
16/6/2023,A,ERW_A5JJ2021090004,Retails,Phra Nakhon Si Ayutthaya,145500,5300,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",10600
20/12/2023,A,ERW_AMBP2020110470,Retails,Sing Buri,145498,940,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",1880
23/12/2023,A,ERW_AHWO2020120003,Retails,Chachoengsao,145500,8500,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",17000
3/4/2023,A,ERW_AMBP2020110016,Retails,Bangkok,145570,1620,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",3240
14/2/2023,A,ERW_AMBP2020110030,Retails,Bangkok,143507,9200,"Mobil Super 2000 10W-40, 4X4+1L.",18400
3/7/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145570,1820,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",3640
6/7/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145570,960,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",1920
9/1/2023,A,ERW_AMBP2020110030,Retails,Bangkok,143507,3360,"Mobil Super 2000 10W-40, 4X4+1L.",6720
18/8/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145570,8160,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",16320
18/9/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145570,8460,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",16920
27/9/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145570,7620,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",15240
26/10/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145570,480,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",960
28/11/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145570,1160,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",2320
3/11/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145570,4840,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",9680
20/6/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145570,5680,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",11360
16/3/2023,A,ERW_AMBP2020110050,Retails,Bangkok,145570,880,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",1760
3/4/2023,A,ERW_AMBP2020110082,Retails,Bangkok,145570,5460,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",10920
26/5/2023,A,ERW_AMBP2020110082,Retails,Bangkok,145570,8040,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",16080
17/11/2023,A,ERW_AMBP2020110082,Retails,Bangkok,145570,5620,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",11240
21/9/2023,A,ERW_AMBP2020110082,Retails,Bangkok,145570,7980,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",15960
3/4/2023,A,ERW_AMBP2020110119,Retails,Pathum Thani,145438,9460,"Mobil Delvac Legend 20W-50 Standard Defense, 1X20L.",9460
27/4/2023,A,ERW_AMBP2020110119,Retails,Pathum Thani,145500,5500,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",11000
27/4/2023,A,ERW_AMBP2020110119,Retails,Pathum Thani,145498,2960,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",5920
24/3/2023,A,ERW_AMBP2020110119,Retails,Pathum Thani,145500,9060,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",18120
20/12/2023,A,ERW_AMBP2020110123,Retails,Phra Nakhon Si Ayutthaya,145498,1080,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",2160
10/11/2023,A,ERW_AMBP2020110123,Retails,Phra Nakhon Si Ayutthaya,145500,2820,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",5640
23/12/2023,A,ERW_AMBP2020110131,Reseller,Lop Buri,145570,7100,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",14200
6/7/2023,A,ERW_AMBP2020110137,Retails,Sing Buri,145498,4180,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",8360
20/9/2023,A,ERW_AMBP2020110137,Retails,Sing Buri,145498,3920,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",7840
21/8/2023,A,ERW_AMBP2020110137,Retails,Sing Buri,145500,2520,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",5040
20/9/2023,A,ERW_AMBP2020110137,Retails,Sing Buri,145570,5140,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",10280
27/10/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145498,6000,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",12000
27/10/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145500,8800,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",17600
30/10/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145498,6480,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",12960
30/10/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145500,4740,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",9480
30/8/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145498,3020,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",6040
20/12/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145570,640,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",1280
16/10/2023,A,ERW_AMBP2020110147,Retails,Chon Buri,145828,9060,"Mobil Super All-In-One Protection 5W-40, 4x4+1L.",36240
27/9/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145438,1540,"Mobil Delvac Legend 20W-50 Standard Defense, 1X20L.",1540
4/12/2023,A,ERW_AMBP2020110210,Reseller,Sa Kaeo,145500,6320,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",12640
11/12/2023,A,ERW_AMBP2020110370,Retails,Bangkok,145826,7000,"Mobil Super All-In-One Protection 5W-30, 4x4+1L.",28000
16/11/2023,A,ERW_AMBP2020110370,Retails,Bangkok,145828,6900,"Mobil Super All-In-One Protection 5W-40, 4x4+1L.",27600
16/11/2023,A,ERW_AMBP2020110370,Retails,Bangkok,145570,640,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",1280
7/9/2023,A,ERW_AMBP2020110370,Retails,Bangkok,145828,500,"Mobil Super All-In-One Protection 5W-40, 4x4+1L.",2000
4/8/2023,A,ERW_AMBP2020110370,Retails,Bangkok,145570,960,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",1920
9/11/2023,A,ERW_AMBP2020110384,Retails,Rayong,145570,3700,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",7400
9/11/2023,A,ERW_AMBP2020110384,Retails,Rayong,145570,7520,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",15040
14/12/2023,A,ERW_AMS82022010001,Retails,Bangkok,145570,2080,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",4160
15/12/2023,A,ERW_AYRE2021100001,Retails,Trat,145500,7320,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",14640
20/12/2023,A,ERW_AYRE2021100001,Retails,Trat,145498,3120,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",6240
19/6/2023,D,ERW_DBG72020110016,Retails,Surat Thani,145500,2660,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",5320
15/11/2023,D,ERW_DBG72020110038,Reseller,Phuket,145570,5640,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",11280
22/11/2023,D,ERW_DBG72020110038,Reseller,Phuket,145570,6360,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",12720
29/7/2023,D,ERW_DBG72020110038,Reseller,Phuket,145570,6200,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",12400
21/3/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,135899,432,"Mobilube HD 80W-90, 1X18L.",432
8/5/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145832,3744,"Mobil 1 FS X2 5W-50, [V2] 4X4L.",37440
2/6/2023,D,ERW_DBG72020110082,Reseller,Songkhla,134728,5886,"Mobil Delvac Super 20W-50, 1X18L.",5886
23/12/2023,D,ERW_DBG72020110082,Reseller,Songkhla,134728,5652,"Mobil Delvac Super 20W-50, 1X18L.",5652
11/8/2023,D,ERW_DFYB2022030001,Retails,Songkhla,134728,7794,"Mobil Delvac Super 20W-50, 1X18L.",7794
7/6/2023,D,ERW_DFYB2022030001,Retails,Songkhla,134728,5490,"Mobil Delvac Super 20W-50, 1X18L.",5490
4/7/2023,D,ERW_DFYB2022030001,Retails,Songkhla,134728,1170,"Mobil Delvac Super 20W-50, 1X18L.",1170
31/10/2023,D,ERW_DFYB2022030001,Retails,Songkhla,134728,2430,"Mobil Delvac Super 20W-50, 1X18L.",2430
13/12/2023,D,ERW_DFYB2022030001,Retails,Songkhla,134728,7578,"Mobil Delvac Super 20W-50, 1X18L.",7578
21/9/2023,D,ERW_DFYB2022030001,Retails,Songkhla,134728,1602,"Mobil Delvac Super 20W-50, 1X18L.",1602
24/7/2023,D,ERW_DFYB2022030002,Retails,Nakhon Si Thammarat,134728,7938,"Mobil Delvac Super 20W-50, 1X18L.",7938
22/8/2023,D,ERW_DFYB2022030002,Retails,Nakhon Si Thammarat,134728,1980,"Mobil Delvac Super 20W-50, 1X18L.",1980
4/9/2023,A,ERW_AMBP2020110446,Retails,Uthai Thani,145577,5096,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",10192
28/6/2023,A,ERW_AD4B2023040001,Retails,Sakon Nakhon,143160,6608,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",13216
26/9/2023,A,ERW_ALWN2023020002,Reseller,Sing Buri,143877,7196,"Mobil Super All-In-One Protection Turbospeed 5W-30, 4X7L.",7196
15/8/2023,A,ERW_AMBP2020110123,Retails,Phra Nakhon Si Ayutthaya,143160,2716,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",5432
7/9/2023,A,ERW_AMBP2020110123,Retails,Phra Nakhon Si Ayutthaya,143160,3724,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",7448
1/3/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,145644,10864,"Mobil Super All-In-One Protection 0W-20, 4x3.5L.",43456
15/2/2023,A,ERW_AMBP2020110275,Retails,Sakon Nakhon,143160,196,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",392
22/9/2023,A,ERW_AMBP2020110377,Retails,Loei,143160,7140,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",14280
17/3/2023,A,ERW_AMBP2020110466,Retails,Khon Kaen,143160,2240,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",4480
10/8/2023,C,ERW_C08P2020090012,Reseller,Kamphaeng Phet,145474,4872,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",9744
14/11/2023,C,ERW_C08P2020090050,Retails,Nakhon Sawan,145497,5208,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",10416
8/9/2023,C,ERW_C08P2020090113,Reseller,Sukhothai,145474,7644,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",15288
10/1/2023,C,ERW_C08P2020090138,Retails,Lamphun,143629,12040,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",24080
27/10/2023,C,ERW_C08P2020090142,Retails,Chiang Mai,145474,5404,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",10808
31/1/2023,C,ERW_C08P2020090206,Retails,Phetchabun,142931,3584,"Mobil Delvac MX 15W-40, 4X6+1L.",7168
26/1/2023,C,ERW_C08P2020090215,Reseller,Nakhon Sawan,142931,6664,"Mobil Delvac MX 15W-40, 4X6+1L.",13328
28/1/2023,C,ERW_C08P2020090216,Retails,Nakhon Sawan,143629,4004,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",8008
23/11/2023,C,ERW_CEGN2022040007,Retails,Chiang Rai,145474,11228,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",22456
16/12/2023,C,ERW_CM8N2021050001,Retails,Phetchabun,145577,4788,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",9576
14/7/2023,C,ERW_CM8N2021050004,Retails,Lampang,145497,1960,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",3920
24/2/2023,C,ERW_C08P2020090127,Reseller,Phrae,142931,4900,"Mobil Delvac MX 15W-40, 4X6+1L.",9800
21/4/2023,B,ERW_B2XK2021090001,Retails,Kanchanaburi,142931,644,"Mobil Delvac MX 15W-40, 4X6+1L.",1288
24/4/2023,B,ERW_B2XK2021090001,Retails,Kanchanaburi,142931,1288,"Mobil Delvac MX 15W-40, 4X6+1L.",2576
18/11/2023,B,ERW_BM2U2020110040,Retails,Chainat,145474,11704,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",23408
30/1/2023,B,ERW_B5CM2020120011,Retails,Nakhon Pathom,142931,6776,"Mobil Delvac MX 15W-40, 4X6+1L.",13552
30/1/2023,B,ERW_B5CM2020120011,Retails,Nakhon Pathom,142931,2828,"Mobil Delvac MX 15W-40, 4X6+1L.",5656
22/12/2023,B,ERW_B5CM2020120011,Retails,Nakhon Pathom,145474,10920,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",21840
15/12/2023,B,ERW_B5CM2020120011,Retails,Nakhon Pathom,145474,9436,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",18872
26/5/2023,B,ERW_BM2U2020110102,Retails,Nakhon Pathom,143629,1680,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",3360
23/3/2023,B,ERW_BM2U2020110127,Reseller,Kanchanaburi,141539,1792,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",3584
23/3/2023,B,ERW_BM2U2020110127,Reseller,Kanchanaburi,143629,10668,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",21336
20/12/2023,B,ERW_BM2U2020110002,Retails,Nakhon Pathom,145577,12656,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",25312
20/12/2023,B,ERW_BM2U2020110005,Reseller,Bangkok,145474,11592,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",23184
11/7/2023,B,ERW_BM2U2020110005,Reseller,Bangkok,145497,5824,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",11648
17/5/2023,B,ERW_BM2U2020110014,Reseller,Suphan Buri,143629,5012,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",10024
29/5/2023,B,ERW_BM2U2020110014,Reseller,Suphan Buri,143629,11984,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",23968
26/4/2023,B,ERW_BM2U2020110014,Reseller,Suphan Buri,142931,196,"Mobil Delvac MX 15W-40, 4X6+1L.",392
26/4/2023,B,ERW_BM2U2020110014,Reseller,Suphan Buri,141539,12880,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",25760
31/10/2023,B,ERW_BM2U2020110014,Reseller,Suphan Buri,145497,10640,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",21280
15/11/2023,B,ERW_BM2U2020110014,Reseller,Suphan Buri,145497,9604,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",19208
21/12/2023,B,ERW_BM2U2020110030,Reseller,Ratchaburi,145474,8540,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",17080
4/8/2023,B,ERW_BM2U2020110036,Reseller,Ratchaburi,145474,12208,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",24416
16/8/2023,B,ERW_BM2U2020110036,Reseller,Ratchaburi,145577,11312,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",22624
22/12/2023,B,ERW_BM2U2020110036,Reseller,Ratchaburi,145577,6832,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",13664
3/4/2023,B,ERW_BM2U2020110109,Retails,Nakhon Pathom,143629,7644,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",15288
24/3/2023,B,ERW_BM2U2020110109,Retails,Nakhon Pathom,143628,9156,"Mobil Super 1000 Turbo Speed 15W-40, 4X7L.",9156
21/4/2023,B,ERW_BM2U2020110113,Retails,Ratchaburi,142931,13496,"Mobil Delvac MX 15W-40, 4X6+1L.",26992
28/3/2023,B,ERW_BM2U2020110113,Retails,Ratchaburi,142931,12460,"Mobil Delvac MX 15W-40, 4X6+1L.",24920
31/5/2023,B,ERW_BM2U2020110116,Retails,Samut Sakhon,143629,2044,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",4088
24/5/2023,B,ERW_BM2U2020110116,Retails,Samut Sakhon,145497,812,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",1624
20/7/2023,B,ERW_BM2U2020110120,Retails,Ratchaburi,145497,224,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",448
20/7/2023,B,ERW_BM2U2020110120,Retails,Ratchaburi,145474,4816,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",9632
30/3/2023,B,ERW_BM2U2020110127,Reseller,Kanchanaburi,141539,2912,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",5824
30/3/2023,B,ERW_BM2U2020110127,Reseller,Kanchanaburi,143629,3444,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",6888
23/5/2023,B,ERW_BM2U2020110145,Retails,Nakhon Pathom,145497,11032,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",22064
28/4/2023,B,ERW_BM2U2020110145,Retails,Nakhon Pathom,141539,1988,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",3976
31/5/2023,B,ERW_BM2U2020110149,Retails,Nakhon Pathom,143629,196,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",392
14/8/2023,B,ERW_BM2U2020110062,Retails,Nakhon Pathom,145577,532,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",1064
31/5/2023,B,ERW_BM2U2020110131,Retails,Bangkok,143628,8652,"Mobil Super 1000 Turbo Speed 15W-40, 4X7L.",8652
31/5/2023,B,ERW_BM2U2020110131,Retails,Bangkok,145497,336,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",672
29/9/2023,B,ERW_BM2U2020110131,Retails,Ratchaburi,145474,3556,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",7112
13/9/2023,B,ERW_BXEO2021030002,Retails,Nakhon Pathom,145500,10892,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",21784
2/11/2023,B,ERW_BXEO2021030002,Retails,Nakhon Pathom,145500,8960,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",17920
17/3/2023,B,ERW_BXEO2021030002,Retails,Nakhon Pathom,143629,10696,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",21392
23/8/2023,D,ERW_DBG72020110003,Retails,Surat Thani,145472,13972,"Mobil Delvac Modern 10W-30 Super Defense, [V2] 4X6L.",27944
7/3/2023,D,ERW_DBG72020110004,Retails,Nakhon Si Thammarat,143629,4816,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",9632
8/2/2023,D,ERW_DBG72020110036,Retails,Songkhla,143629,4424,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",8848
12/1/2023,D,ERW_DBG72020110056,Retails,Phuket,142931,8876,"Mobil Delvac MX 15W-40, 4X6+1L.",17752
22/2/2023,D,ERW_DBG72020110056,Retails,Phuket,142931,12964,"Mobil Delvac MX 15W-40, 4X6+1L.",25928
14/11/2023,A,ERW_AMBP2020110112,Retails,Pathum Thani,140363,7888,"Mobil Super 3000 5W-30, 1X208L.",31552
21/4/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,145570,5360,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",10720
30/10/2023,A,ERW_A1DS2023040005,Reseller,Udon Thani,145570,3000,"Mobil Super Friction Fighter 10W-40, 4x4+1L.",6000
12/10/2023,A,ERW_AMBP2020110446,Retails,Uthai Thani,145500,5820,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",11640
12/10/2023,A,ERW_AMBP2020110446,Retails,Uthai Thani,145438,4780,"Mobil Delvac Legend 20W-50 Standard Defense, 1X20L.",4780
17/4/2023,A,ERW_ALWN2023020002,Reseller,Sing Buri,145826,6300,"Mobil Super All-In-One Protection 5W-30, 4x4+1L.",25200
28/3/2023,A,ERW_AMBP2020110006,Retails,Bangkok,143507,8180,"Mobil Super 2000 10W-40, 4X4+1L.",16360
20/7/2023,A,ERW_AMBP2020110119,Retails,Pathum Thani,145498,8880,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",17760
28/6/2023,A,ERW_AMBP2020110123,Retails,Phra Nakhon Si Ayutthaya,145500,260,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",520
11/4/2023,A,ERW_AMBP2020110147,Retails,Chon Buri,145828,6440,"Mobil Super All-In-One Protection 5W-40, 4x4+1L.",25760
21/6/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,135898,5960,"Mobilube HD Plus, 4X5L.",5960
7/6/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143898,160,"Mobil ATF 220 Syn Tech, 1X20L.",160
15/11/2023,A,ERW_AMBP2020110217,Retails,Nakhon Ratchasima,145500,9360,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",18720
19/12/2023,A,ERW_AMBP2020110234,Retails,Ubon Ratchathani,145498,9520,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",19040
15/8/2023,A,ERW_AMBP2020110446,Retails,Nonthaburi,145438,2760,"Mobil Delvac Legend 20W-50 Standard Defense, 1X20L.",2760
15/8/2023,A,ERW_AMBP2020110446,Retails,Nonthaburi,145500,1380,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",2760
27/9/2023,A,ERW_AMBP2020110648,Reseller,Maha Sarakham,145500,8460,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",16920
22/9/2023,A,ERW_AWTA2023030001,Retails,Nakhon Ratchasima,145500,6880,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",13760
6/4/2023,C,ERW_C08P2020090008,Retails,Kamphaeng Phet,145500,8840,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",17680
1/11/2023,C,ERW_C08P2020090008,Retails,Kamphaeng Phet,145500,1540,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",3080
23/11/2023,C,ERW_C08P2020090062,Retails,Phichit,145438,7420,"Mobil Delvac Legend 20W-50 Standard Defense, 1X20L.",7420
24/11/2023,C,ERW_C08P2020090068,Retails,Phitsanulok,145500,8720,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",17440
14/7/2023,C,ERW_C08P2020090073,Retails,Phitsanulok,145500,120,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",240
